001a,external\ps3\ep1\scene\001a.png
hina2_2,external\ps3\ep4\overview\hina2_2.png
hina2_3,external\ps3\ep4\overview\hina2_3.png
hina2_4,external\ps3\ep4\overview\hina2_4.png
hina3b_1,external\ps3\ep2\overview\hina3b_1.png
hina3b_2,external\ps3\ep2\overview\hina3b_2.png
hina3b_3,external\ps3\ep2\overview\hina3b_3.png
hina3b_4,external\ps3\ep2\overview\hina3b_4.png
ho1,external\ps3\ep3\background\ho1.png
ho1_01,external\ps3\ep5\background\ho1_01.png
ho1_02,external\ps3\ep3\background\ho1_02.png
ho_2,external\ps3\ep3\background\ho_2.png
ho_r1,external\ps3\ep3\background\ho_r1.png
honoo,external\ps3\ep3\background\honoo.png
hoteru,external\ps3\ep4\background\hoteru.png
hu2,external\ps3\ep7\background\hu2.png
hu2_01,external\ps3\ep7\background\hu2_01.png
hu_ima,external\ps3\ep8\background\hu_ima.png
hu_r1,external\ps3\ep2\background\hu_r1.png
hu_r4,external\ps3\ep6\background\hu_r4.png
hu_tenjyou,external\ps3\ep1\background\hu_tenjyou.png
ie1,external\ps3\ep1\background\ie1.png
ie1_01,external\ps3\ep3\background\ie1_01.png
ima1,external\ps3\ep4\background\ima1.png
ima3,external\ps3\ep3\background\ima3.png
imagebg,external\ps3\ep8\scene\imagebg.png
iri1_def1_0,external\ps3\ep3\sprite\iri1_def1_0.png
iri1_def1_1,external\ps3\ep3\sprite\iri1_def1_1.png
iri1_def1_2,external\ps3\ep3\sprite\iri1_def1_2.png
iri1_def2_0,external\ps3\ep3\sprite\iri1_def2_0.png
iri1_def2_1,external\ps3\ep3\sprite\iri1_def2_1.png
iri1_def2_2,external\ps3\ep3\sprite\iri1_def2_2.png
iri1_majime2_0,external\ps3\ep3\sprite\iri1_majime2_0.png
iri1_majime2_1,external\ps3\ep3\sprite\iri1_majime2_1.png
iri1_majime2_2,external\ps3\ep3\sprite\iri1_majime2_2.png
iri1_majime_0,external\ps3\ep3\sprite\iri1_majime_0.png
iri1_majime_1,external\ps3\ep3\sprite\iri1_majime_1.png
iri1_majime_2,external\ps3\ep3\sprite\iri1_majime_2.png
iri1_warai_0,external\ps3\ep3\sprite\iri1_warai_0.png
iri1_warai_1,external\ps3\ep3\sprite\iri1_warai_1.png
iri1_warai_2,external\ps3\ep3\sprite\iri1_warai_2.png
iri2_def1_0,external\ps3\ep3\sprite\iri2_def1_0.png
iri2_def1_1,external\ps3\ep3\sprite\iri2_def1_1.png
iri2_def1_2,external\ps3\ep3\sprite\iri2_def1_2.png
iri2_def2_0,external\ps3\ep3\sprite\iri2_def2_0.png
iri2_def2_1,external\ps3\ep3\sprite\iri2_def2_1.png
iri2_def2_2,external\ps3\ep3\sprite\iri2_def2_2.png
iri2_majime2_0,external\ps3\ep3\sprite\iri2_majime2_0.png
iri2_majime2_1,external\ps3\ep3\sprite\iri2_majime2_1.png
iri2_majime2_2,external\ps3\ep3\sprite\iri2_majime2_2.png
iri2_majime_0,external\ps3\ep3\portrait\iri2_majime_0.png
iri2_majime_1,external\ps3\ep3\portrait\iri2_majime_1.png
iri2_majime_2,external\ps3\ep3\portrait\iri2_majime_2.png
iri2_warai_0,external\ps3\ep3\sprite\iri2_warai_0.png
iri2_warai_1,external\ps3\ep3\sprite\iri2_warai_1.png
iri2_warai_2,external\ps3\ep3\sprite\iri2_warai_2.png
iri3_def1_0,external\ps3\ep3\sprite\iri3_def1_0.png
iri3_def1_1,external\ps3\ep3\sprite\iri3_def1_1.png
iri3_def1_2,external\ps3\ep3\sprite\iri3_def1_2.png
iri3_def2_0,external\ps3\ep3\sprite\iri3_def2_0.png
iri3_def2_1,external\ps3\ep3\sprite\iri3_def2_1.png
iri3_def2_2,external\ps3\ep3\sprite\iri3_def2_2.png
iri3_majime2_0,external\ps3\ep5\sprite\iri3_majime2_0.png
iri3_majime2_1,external\ps3\ep5\sprite\iri3_majime2_1.png
iri3_majime2_2,external\ps3\ep5\sprite\iri3_majime2_2.png
iri3_majime_0,external\ps3\ep5\sprite\iri3_majime_0.png
iri3_majime_1,external\ps3\ep5\sprite\iri3_majime_1.png
iri3_majime_2,external\ps3\ep5\sprite\iri3_majime_2.png
iri3_warai_0,external\ps3\ep3\sprite\iri3_warai_0.png
iri3_warai_1,external\ps3\ep3\sprite\iri3_warai_1.png
iri3_warai_2,external\ps3\ep3\sprite\iri3_warai_2.png
irie_mih,external\ps3\ep8\scene\irie_mih.png
jansou,external\ps3\ep2\background\jansou.png
jd4,external\ps3\ep1\background\jd4.png
jd4_01,external\ps3\ep1\background\jd4_01.png
je1,external\ps3\ep1\background\je1.png
je2,external\ps3\ep1\background\je2.png
ji1,external\ps3\ep1\background\ji1.png
ji1_01,external\ps3\ep2\background\ji1_01.png
ji1_menu,external\ps3\ep7\ji1_menu.png
ji2,external\ps3\ep1\background\ji2.png
ji2_01,external\ps3\ep2\background\ji2_01.png
ji6,external\ps3\ep1\background\ji6.png
jok1,external\ps3\ep1\background\jok1.png
jok2,external\ps3\ep2\background\jok2.png
js1,external\ps3\ep3\background\js1.png
js1_01,external\ps3\ep2\background\js1_01.png
js3,external\ps3\ep1\background\js3.png
js3_01,external\ps3\ep2\background\js3_01.png
js4,external\ps3\ep7\background\js4.png
js4_01,external\ps3\ep4\background\js4_01.png
js4_02,external\ps3\ep7\background\js4_02.png
js7,external\ps3\ep5\background\js7.png
js7_01,external\ps3\ep5\background\js7_01.png
jsa1,external\ps3\ep2\background\jsa1.png
jsa7,external\ps3\ep2\background\jsa7.png
jsa7_01,external\ps3\ep2\background\jsa7_01.png
jt1,external\ps3\ep1\background\jt1.png
jt1_01,external\ps3\ep3\background\jt1_01.png
jt2,external\ps3\ep1\background\jt2.png
jt2_01,external\ps3\ep4\background\jt2_01.png
juku1_01,external\ps3\ep4\background\juku1_01.png
jy1,external\ps3\ep2\background\jy1.png
jy2,external\ps3\ep1\background\jy2.png
jys1,external\ps3\ep2\background\jys1.png
jysa1,external\ps3\ep2\background\jysa1.png
jyt1,external\ps3\ep2\background\jyt1.png
jyt2,external\ps3\ep1\background\jyt2.png
k_kouen1,external\ps3\ep5\background\k_kouen1.png
k_kouen1_01,external\ps3\ep5\background\k_kouen1_01.png
k_oyashiro,external\ps3\ep8\background\k_oyashiro.png
k_ten2,external\ps3\ep8\background\k_ten2.png
ka1_01,external\ps3\ep7\background\ka1_01.png
ka4,external\ps3\ep7\background\ka4.png
kai_jyun,external\ps3\ep8\background\kai_jyun.png
kai_ten,external\ps3\ep8\background\kai_ten.png
kakera,external\ps3\ep8\background\kakera.png
kakera_dame,external\ps3\ep8\text\kakera_dame.png
kakera_dame_j,external\ps3\ep8\text\kakera_dame_j.png
kameda1a_def_0,external\ps3\ep7\sprite\kameda1a_def_0.png
kameda1a_def_1,external\ps3\ep7\sprite\kameda1a_def_1.png
kameda1a_def_2,external\ps3\ep7\sprite\kameda1a_def_2.png
kameda1a_niyari_0,external\ps3\ep6\sprite\kameda1a_niyari_0.png
kameda1a_niyari_1,external\ps3\ep6\sprite\kameda1a_niyari_1.png
kameda1a_niyari_2,external\ps3\ep6\sprite\kameda1a_niyari_2.png
kameda1a_shinken_0,external\ps3\ep7\sprite\kameda1a_shinken_0.png
kameda1a_shinken_1,external\ps3\ep7\sprite\kameda1a_shinken_1.png
kameda1a_shinken_2,external\ps3\ep7\sprite\kameda1a_shinken_2.png
kameda1a_warai_0,external\ps3\ep6\portrait\kameda1a_warai_0.png
kameda1a_warai_1,external\ps3\ep6\portrait\kameda1a_warai_1.png
kameda1a_warai_2,external\ps3\ep6\portrait\kameda1a_warai_2.png
kameda1b_odoroki_0,external\ps3\ep6\portrait\kameda1b_odoroki_0.png
kameda1b_odoroki_1,external\ps3\ep6\portrait\kameda1b_odoroki_1.png
kameda1b_odoroki_2,external\ps3\ep6\portrait\kameda1b_odoroki_2.png
kameda2a_def_0,external\ps3\ep3\sprite\kameda2a_def_0.png
kameda2a_def_1,external\ps3\ep3\sprite\kameda2a_def_1.png
kameda2a_def_2,external\ps3\ep3\sprite\kameda2a_def_2.png
kameda2a_niyari_0,external\ps3\ep3\sprite\kameda2a_niyari_0.png
kameda2a_niyari_1,external\ps3\ep3\sprite\kameda2a_niyari_1.png
kameda2a_niyari_2,external\ps3\ep3\sprite\kameda2a_niyari_2.png
kameda2a_shinken_0,external\ps3\ep3\sprite\kameda2a_shinken_0.png
kameda2a_shinken_1,external\ps3\ep3\sprite\kameda2a_shinken_1.png
kameda2a_shinken_2,external\ps3\ep3\sprite\kameda2a_shinken_2.png
kameda2a_warai_0,external\ps3\ep3\sprite\kameda2a_warai_0.png
kameda2a_warai_1,external\ps3\ep3\sprite\kameda2a_warai_1.png
kameda2a_warai_2,external\ps3\ep3\sprite\kameda2a_warai_2.png
kasa_1_0,external\ps3\ep2\sprite\kasa_1_0.png
kasa_1_1,external\ps3\ep2\sprite\kasa_1_1.png
kasa_1_2,external\ps3\ep2\sprite\kasa_1_2.png
kasa_2_0,external\ps3\ep2\sprite\kasa_2_0.png
kasa_2_1,external\ps3\ep2\sprite\kasa_2_1.png
kasa_2_2,external\ps3\ep2\sprite\kasa_2_2.png
kasa_3_0,external\ps3\ep5\sprite\kasa_3_0.png
kasa_3_1,external\ps3\ep5\sprite\kasa_3_1.png
kasa_3_2,external\ps3\ep5\sprite\kasa_3_2.png
kawa1,external\ps3\ep1\background\kawa1.png
kawa4,external\ps3\ep1\background\kawa4.png
ke1,external\ps3\ep4\background\ke1.png
ke1_01,external\ps3\ep5\background\ke1_01.png
ke2,external\ps3\ep2\background\ke2.png
ke5,external\ps3\ep1\background\ke5.png
ke_ky1,external\ps3\ep1\background\ke_ky1.png
ke_ky2,external\ps3\ep1\background\ke_ky2.png
ke_robbie,external\ps3\ep8\background\ke_robbie.png
ke_s2,external\ps3\ep1\background\ke_s2.png
ke_shiryou1_02,external\ps3\ep5\background\ke_shiryou1_02.png
kei1_def1_0,external\ps3\ep5\portrait\kei1_def1_0.png
kei1_def1_1,external\ps3\ep5\portrait\kei1_def1_1.png
kei1_def1_2,external\ps3\ep5\portrait\kei1_def1_2.png
kei1_def2_0,external\ps3\ep5\portrait\kei1_def2_0.png
kei1_def2_1,external\ps3\ep5\portrait\kei1_def2_1.png
kei1_def2_2,external\ps3\ep5\portrait\kei1_def2_2.png
kei1_ikari1_0,external\ps3\ep5\sprite\kei1_ikari1_0.png
kei1_ikari1_1,external\ps3\ep5\sprite\kei1_ikari1_1.png
kei1_ikari1_2,external\ps3\ep5\sprite\kei1_ikari1_2.png
kei1_ikari2_0,external\ps3\ep7\sprite\kei1_ikari2_0.png
kei1_ikari2_1,external\ps3\ep7\sprite\kei1_ikari2_1.png
kei1_ikari2_2,external\ps3\ep7\sprite\kei1_ikari2_2.png
kei1_komaru_0,external\ps3\ep5\portrait\kei1_komaru_0.png
kei1_komaru_1,external\ps3\ep5\portrait\kei1_komaru_1.png
kei1_komaru_2,external\ps3\ep5\portrait\kei1_komaru_2.png
kei1_majime2_0,external\ps3\ep5\portrait\kei1_majime2_0.png
kei1_majime2_1,external\ps3\ep5\portrait\kei1_majime2_1.png
kei1_majime2_2,external\ps3\ep5\portrait\kei1_majime2_2.png
kei1_majime_0,external\ps3\ep5\sprite\kei1_majime_0.png
kei1_majime_1,external\ps3\ep5\sprite\kei1_majime_1.png
kei1_majime_2,external\ps3\ep5\sprite\kei1_majime_2.png
kei1_nayamu_0,external\ps3\ep5\sprite\kei1_nayamu_0.png
kei1_nayamu_1,external\ps3\ep5\sprite\kei1_nayamu_1.png
kei1_nayamu_2,external\ps3\ep5\sprite\kei1_nayamu_2.png
kei1_warai_0,external\ps3\ep5\portrait\kei1_warai_0.png
kei1_warai_1,external\ps3\ep5\portrait\kei1_warai_1.png
kei1_warai_2,external\ps3\ep5\portrait\kei1_warai_2.png
kei2_def1_0,external\ps3\ep5\portrait\kei2_def1_0.png
kei2_def1_1,external\ps3\ep5\portrait\kei2_def1_1.png
kei2_def1_2,external\ps3\ep5\portrait\kei2_def1_2.png
kei2_def2_0,external\ps3\ep5\portrait\kei2_def2_0.png
kei2_def2_1,external\ps3\ep5\portrait\kei2_def2_1.png
kei2_def2_2,external\ps3\ep5\portrait\kei2_def2_2.png
kei2_ikari1_0,external\ps3\ep5\sprite\kei2_ikari1_0.png
kei2_ikari1_1,external\ps3\ep5\sprite\kei2_ikari1_1.png
kei2_ikari1_2,external\ps3\ep5\sprite\kei2_ikari1_2.png
kei2_ikari2_0,external\ps3\ep5\sprite\kei2_ikari2_0.png
kei2_ikari2_1,external\ps3\ep5\sprite\kei2_ikari2_1.png
kei2_ikari2_2,external\ps3\ep5\sprite\kei2_ikari2_2.png
kei2_komaru_0,external\ps3\ep5\sprite\kei2_komaru_0.png
kei2_komaru_1,external\ps3\ep5\sprite\kei2_komaru_1.png
kei2_komaru_2,external\ps3\ep5\sprite\kei2_komaru_2.png
kei2_majime2_0,external\ps3\ep5\sprite\kei2_majime2_0.png
kei2_majime2_1,external\ps3\ep5\sprite\kei2_majime2_1.png
kei2_majime2_2,external\ps3\ep5\sprite\kei2_majime2_2.png
kei2_majime_0,external\ps3\ep5\sprite\kei2_majime_0.png
kei2_majime_1,external\ps3\ep5\sprite\kei2_majime_1.png
kei2_majime_2,external\ps3\ep5\sprite\kei2_majime_2.png
kei2_nayamu_0,external\ps3\ep5\portrait\kei2_nayamu_0.png
kei2_nayamu_1,external\ps3\ep5\portrait\kei2_nayamu_1.png
kei2_nayamu_2,external\ps3\ep5\portrait\kei2_nayamu_2.png
kei2_warai_0,external\ps3\ep5\portrait\kei2_warai_0.png
kei2_warai_1,external\ps3\ep5\portrait\kei2_warai_1.png
kei2_warai_2,external\ps3\ep5\portrait\kei2_warai_2.png
kenkei,external\ps3\ep4\text\kenkei.png
kenkei_j,external\ps3\ep4\text\kenkei_j.png
ki_def_0,external\ps3\ep4\sprite\ki_def_0.png
ki_def_1,external\ps3\ep4\sprite\ki_def_1.png
ki_def_2,external\ps3\ep4\sprite\ki_def_2.png
ki_komaru_0,external\ps3\ep4\sprite\ki_komaru_0.png
ki_komaru_1,external\ps3\ep4\sprite\ki_komaru_1.png
ki_komaru_2,external\ps3\ep4\sprite\ki_komaru_2.png
ki_warai_0,external\ps3\ep4\sprite\ki_warai_0.png
ki_warai_1,external\ps3\ep4\sprite\ki_warai_1.png
ki_warai_2,external\ps3\ep4\sprite\ki_warai_2.png
kimi_o1_08,external\ps3\ep4\background\kimi_o1_08.png
kouan,external\ps3\ep4\text\kouan.png
kouan_j,external\ps3\ep4\text\kouan_j.png
koudou,external\ps3\ep8\background\koudou.png
koya1,external\ps3\ep8\background\koya1.png
koya1_02,external\ps3\ep4\background\koya1_02.png
kukou1,external\ps3\ep4\background\kukou1.png
kuma_def_0,external\ps3\ep1\sprite\kuma_def_0.png
kuma_def_1,external\ps3\ep1\sprite\kuma_def_1.png
kuma_def_2,external\ps3\ep1\sprite\kuma_def_2.png
kuma_komaru_0,external\ps3\ep1\sprite\kuma_komaru_0.png
kuma_komaru_1,external\ps3\ep1\sprite\kuma_komaru_1.png
kuma_komaru_2,external\ps3\ep1\sprite\kuma_komaru_2.png
kuma_warai_0,external\ps3\ep6\sprite\kuma_warai_0.png
kuma_warai_1,external\ps3\ep6\sprite\kuma_warai_1.png
kuma_warai_2,external\ps3\ep6\sprite\kuma_warai_2.png
kuruma1,external\ps3\ep1\background\kuruma1.png
kuruma1_02,external\ps3\ep3\background\kuruma1_02.png
kuruma2,external\ps3\ep2\background\kuruma2.png
kuruma2_01,external\ps3\ep4\background\kuruma2_01.png
kuruma2_02,external\ps3\ep3\background\kuruma2_02.png
kuruma3,external\ps3\ep4\background\kuruma3.png
kuruma3_01,external\ps3\ep1\background\kuruma3_01.png
kuruma3_02,external\ps3\ep3\background\kuruma3_02.png
kuruma4,external\ps3\ep2\background\kuruma4.png
kuruma4_01,external\ps3\ep3\background\kuruma4_01.png
kuruma5,external\ps3\ep4\background\kuruma5.png
kuruma5_01,external\ps3\ep4\background\kuruma5_01.png
kuruma5_02,external\ps3\ep5\background\kuruma5_02.png
kuruma5_03,external\ps3\ep3\background\kuruma5_03.png
kuruma5_04,external\ps3\ep8\background\kuruma5_04.png
kuruma5_05,external\ps3\ep8\background\kuruma5_05.png
kuruma6,external\ps3\ep4\background\kuruma6.png
left,external\ps3\ep1\left.png
logo,external\ps3\ep1\logo.png
logo_j,external\ps3\ep1\logo_j.png
logomask,external\ps3\ep1\logomask.png
m1,external\ps3\ep1\m1.png
m_hi1,external\ps3\ep1\background\m_hi1.png
m_hi1_01,external\ps3\ep1\background\m_hi1_01.png
m_hi3,external\ps3\ep1\background\m_hi3.png
m_hi3_01,external\ps3\ep1\background\m_hi3_01.png
m_hi4,external\ps3\ep1\background\m_hi4.png
m_hi4_01,external\ps3\ep1\background\m_hi4_01.png
m_hi5,external\ps3\ep1\background\m_hi5.png
m_hi5_01,external\ps3\ep1\background\m_hi5_01.png
m_hi6,external\ps3\ep1\background\m_hi6.png
m_hi6_01,external\ps3\ep3\background\m_hi6_01.png
m_hi8,external\ps3\ep1\background\m_hi8.png
m_y1,external\ps3\ep1\background\m_y1.png
m_y2,external\ps3\ep1\background\m_y2.png
m_y2_02,external\ps3\ep2\background\m_y2_02.png
m_y2_04,external\ps3\ep3\background\m_y2_04.png
m_y4,external\ps3\ep1\background\m_y4.png
m_y4_01,external\ps3\ep4\background\m_y4_01.png
m_y4_04,external\ps3\ep8\background\m_y4_04.png
m_y7,external\ps3\ep2\background\m_y7.png
ma1,external\ps3\ep1\background\ma1.png
ma1_01,external\ps3\ep3\background\ma1_01.png
ma1_02,external\ps3\ep1\background\ma1_02.png
ma2,external\ps3\ep1\background\ma2.png
ma2_01,external\ps3\ep1\background\ma2_01.png
ma3,external\ps3\ep1\background\ma3.png
ma3_01,external\ps3\ep3\background\ma3_01.png
ma3_02,external\ps3\ep3\background\ma3_02.png
ma5,external\ps3\ep3\background\ma5.png
ma5_01,external\ps3\ep3\background\ma5_01.png
ma_1,external\ps3\ep8\text\ma_1.png
ma_1_j,external\ps3\ep8\text\ma_1_j.png
ma_2,external\ps3\ep8\text\ma_2.png
ma_2_j,external\ps3\ep8\text\ma_2_j.png
ma_3,external\ps3\ep8\text\ma_3.png
ma_3_j,external\ps3\ep8\text\ma_3_j.png
ma_d1,external\ps3\ep1\background\ma_d1.png
ma_d1_01,external\ps3\ep1\background\ma_d1_01.png
ma_g1,external\ps3\ep1\background\ma_g1.png
ma_g1_01,external\ps3\ep2\background\ma_g1_01.png
ma_g2,external\ps3\ep1\background\ma_g2.png
ma_g3,external\ps3\ep6\background\ma_g3.png
ma_g3_01,external\ps3\ep1\background\ma_g3_01.png
ma_g3_02,external\ps3\ep1\background\ma_g3_02.png
ma_j3,external\ps3\ep1\background\ma_j3.png
ma_j3_01,external\ps3\ep1\background\ma_j3_01.png
ma_j3_03,external\ps3\ep2\background\ma_j3_03.png
ma_j3_05,external\ps3\ep1\background\ma_j3_05.png
ma_s1,external\ps3\ep1\background\ma_s1.png
ma_s1_01,external\ps3\ep6\background\ma_s1_01.png
maid,external\ps3\ep8\scene\maid.png
mangagamer,external\ps3\ep1\mangagamer.png
mask00,external\ps3\ep5\mask00.png
mask1013,external\ps3\ep1\mask1013.png
mask1014,external\ps3\ep4\mask1014.png
mask1020,external\ps3\ep4\mask1020.png
mask1900,external\ps3\ep5\mask1900.png
mask2,external\ps3\ep5\mask2.png
mask4,external\ps3\ep5\mask4.png
mask5,external\ps3\ep5\mask5.png
mask6,external\ps3\ep5\mask6.png
mask_1900,external\ps3\ep1\mask_1900.png
maskaa,external\ps3\ep5\maskaa.png
maskc,external\ps3\ep5\maskc.png
maskdown,external\ps3\ep5\maskdown.png
maskleft,external\ps3\ep5\maskleft.png
maskm1,external\ps3\ep5\maskm1.png
maskright,external\ps3\ep5\maskright.png
maskryuuketu,external\ps3\ep5\maskryuuketu.png
masktoketu,external\ps3\ep5\masktoketu.png
maskup,external\ps3\ep5\maskup.png
maskx,external\ps3\ep5\maskx.png
mati12,external\ps3\ep2\background\mati12.png
mati2,external\ps3\ep1\background\mati2.png
mati2_01,external\ps3\ep5\background\mati2_01.png
mati2_04,external\ps3\ep8\background\mati2_04.png
mati3,external\ps3\ep2\background\mati3.png
mati3_01,external\ps3\ep5\background\mati3_01.png
mati3_04,external\ps3\ep8\background\mati3_04.png
mati4,external\ps3\ep2\background\mati4.png
mati4_01,external\ps3\ep7\background\mati4_01.png
mati4_04,external\ps3\ep8\background\mati4_04.png
mati7,external\ps3\ep1\background\mati7.png
mati_ji1,external\ps3\ep7\background\mati_ji1.png
mati_o1,external\ps3\ep2\background\mati_o1.png
mati_o1_01,external\ps3\ep7\background\mati_o1_01.png
mati_o2,external\ps3\ep2\background\mati_o2.png
mati_o4,external\ps3\ep2\background\mati_o4.png
mati_o6,external\ps3\ep2\background\mati_o6.png
matu_t1,external\ps3\ep8\prologue\matu_t1.png
matu_t2,external\ps3\ep8\prologue\matu_t2.png
maturi_txt1,external\ps3\ep8\text\maturi_txt1.png
maturi_txt10,external\ps3\ep8\text\maturi_txt10.png
maturi_txt10_j,external\ps3\ep8\text\maturi_txt10_j.png
maturi_txt10b,external\ps3\ep8\text\maturi_txt10b.png
maturi_txt10b_j,external\ps3\ep8\text\maturi_txt10b_j.png
maturi_txt11,external\ps3\ep8\text\maturi_txt11.png
maturi_txt11_j,external\ps3\ep8\text\maturi_txt11_j.png
maturi_txt12,external\ps3\ep8\text\maturi_txt12.png
maturi_txt12_j,external\ps3\ep8\text\maturi_txt12_j.png
maturi_txt13,external\ps3\ep8\text\maturi_txt13.png
maturi_txt13_j,external\ps3\ep8\text\maturi_txt13_j.png
maturi_txt1_j,external\ps3\ep8\text\maturi_txt1_j.png
maturi_txt2,external\ps3\ep8\text\maturi_txt2.png
maturi_txt2_j,external\ps3\ep8\text\maturi_txt2_j.png
maturi_txt2b,external\ps3\ep8\text\maturi_txt2b.png
maturi_txt2b_j,external\ps3\ep8\text\maturi_txt2b_j.png
maturi_txt2c,external\ps3\ep8\text\maturi_txt2c.png
maturi_txt2c_j,external\ps3\ep8\text\maturi_txt2c_j.png
maturi_txt3,external\ps3\ep8\text\maturi_txt3.png
maturi_txt3_j,external\ps3\ep8\text\maturi_txt3_j.png
maturi_txt3b,external\ps3\ep8\text\maturi_txt3b.png
maturi_txt3b_j,external\ps3\ep8\text\maturi_txt3b_j.png
maturi_txt4,external\ps3\ep8\text\maturi_txt4.png
maturi_txt4_j,external\ps3\ep8\text\maturi_txt4_j.png
maturi_txt5,external\ps3\ep8\text\maturi_txt5.png
maturi_txt5_j,external\ps3\ep8\text\maturi_txt5_j.png
maturi_txt6,external\ps3\ep8\text\maturi_txt6.png
maturi_txt6_j,external\ps3\ep8\text\maturi_txt6_j.png
maturi_txt6b,external\ps3\ep8\text\maturi_txt6b.png
maturi_txt6b_j,external\ps3\ep8\text\maturi_txt6b_j.png
maturi_txt6c,external\ps3\ep8\text\maturi_txt6c.png
maturi_txt6c_j,external\ps3\ep8\text\maturi_txt6c_j.png
maturi_txt7,external\ps3\ep8\text\maturi_txt7.png
maturi_txt7_j,external\ps3\ep8\text\maturi_txt7_j.png
maturi_txt8,external\ps3\ep8\text\maturi_txt8.png
maturi_txt8-,external\ps3\ep8\text\maturi_txt8-.png
maturi_txt8-_j,external\ps3\ep8\text\maturi_txt8-_j.png
maturi_txt8_j,external\ps3\ep8\text\maturi_txt8_j.png
maturi_txt9,external\ps3\ep8\text\maturi_txt9.png
maturi_txt9-,external\ps3\ep8\text\maturi_txt9-.png
maturi_txt9-_j,external\ps3\ep8\text\maturi_txt9-_j.png
maturi_txt9_j,external\ps3\ep8\text\maturi_txt9_j.png
me1a_akuwarai_a1_0,external\ps3\ep1\sprite\me1a_akuwarai_a1_0.png
me1a_akuwarai_a1_1,external\ps3\ep1\sprite\me1a_akuwarai_a1_1.png
me1a_akuwarai_a1_2,external\ps3\ep1\sprite\me1a_akuwarai_a1_2.png
me1a_def_a1_0,external\ps3\ep1\sprite\me1a_def_a1_0.png
me1a_def_a1_1,external\ps3\ep1\sprite\me1a_def_a1_1.png
me1a_def_a1_2,external\ps3\ep1\sprite\me1a_def_a1_2.png
me1a_hau_a1_0,external\ps3\ep2\sprite\me1a_hau_a1_0.png
me1a_hau_a1_1,external\ps3\ep2\sprite\me1a_hau_a1_1.png
me1a_hau_a1_2,external\ps3\ep2\sprite\me1a_hau_a1_2.png
me1a_hig_maji_a1_0,external\ps3\ep2\sprite\me1a_hig_maji_a1_0.png
me1a_hig_maji_a1_1,external\ps3\ep2\sprite\me1a_hig_maji_a1_1.png
me1a_hig_maji_a1_2,external\ps3\ep2\sprite\me1a_hig_maji_a1_2.png
me1a_huteki_a1_0,external\ps3\ep1\sprite\me1a_huteki_a1_0.png
me1a_huteki_a1_1,external\ps3\ep1\sprite\me1a_huteki_a1_1.png
me1a_huteki_a1_2,external\ps3\ep1\sprite\me1a_huteki_a1_2.png
me1a_ikari_a1_0,external\ps3\ep1\sprite\me1a_ikari_a1_0.png
me1a_ikari_a1_1,external\ps3\ep1\sprite\me1a_ikari_a1_1.png
me1a_ikari_a1_2,external\ps3\ep1\sprite\me1a_ikari_a1_2.png
me1a_majime_a1_0,external\ps3\ep1\sprite\me1a_majime_a1_0.png
me1a_majime_a1_1,external\ps3\ep1\sprite\me1a_majime_a1_1.png
me1a_majime_a1_2,external\ps3\ep1\sprite\me1a_majime_a1_2.png
me1a_odoroki_a1_0,external\ps3\ep1\sprite\me1a_odoroki_a1_0.png
me1a_odoroki_a1_1,external\ps3\ep1\sprite\me1a_odoroki_a1_1.png
me1a_odoroki_a1_2,external\ps3\ep1\sprite\me1a_odoroki_a1_2.png
me1a_sinmyou_a1_0,external\ps3\ep3\sprite\me1a_sinmyou_a1_0.png
me1a_sinmyou_a1_1,external\ps3\ep3\sprite\me1a_sinmyou_a1_1.png
me1a_sinmyou_a1_2,external\ps3\ep3\sprite\me1a_sinmyou_a1_2.png
me1a_tohoho_a1_0,external\ps3\ep1\sprite\me1a_tohoho_a1_0.png
me1a_tohoho_a1_1,external\ps3\ep1\sprite\me1a_tohoho_a1_1.png
me1a_tohoho_a1_2,external\ps3\ep1\sprite\me1a_tohoho_a1_2.png
me1a_tokui_a1_0,external\ps3\ep1\sprite\me1a_tokui_a1_0.png
me1a_tokui_a1_1,external\ps3\ep1\sprite\me1a_tokui_a1_1.png
me1a_tokui_a1_2,external\ps3\ep1\sprite\me1a_tokui_a1_2.png
me1a_warai_a1_0,external\ps3\ep1\sprite\me1a_warai_a1_0.png
me1a_warai_a1_1,external\ps3\ep1\sprite\me1a_warai_a1_1.png
me1a_warai_a1_2,external\ps3\ep1\sprite\me1a_warai_a1_2.png
me1a_wink_a1_0,external\ps3\ep1\sprite\me1a_wink_a1_0.png
me1a_wink_a1_1,external\ps3\ep1\sprite\me1a_wink_a1_1.png
me1a_wink_a1_2,external\ps3\ep1\sprite\me1a_wink_a1_2.png
me1a_yowaki_a1_0,external\ps3\ep1\sprite\me1a_yowaki_a1_0.png
me1a_yowaki_a1_1,external\ps3\ep1\sprite\me1a_yowaki_a1_1.png
me1a_yowaki_a1_2,external\ps3\ep1\sprite\me1a_yowaki_a1_2.png
me1b_akuwarai_a1_0,external\ps3\ep1\sprite\me1b_akuwarai_a1_0.png
me1b_akuwarai_a1_1,external\ps3\ep1\sprite\me1b_akuwarai_a1_1.png
me1b_akuwarai_a1_2,external\ps3\ep1\sprite\me1b_akuwarai_a1_2.png
me1b_def_a1_0,external\ps3\ep1\sprite\me1b_def_a1_0.png
me1b_def_a1_1,external\ps3\ep1\sprite\me1b_def_a1_1.png
